component,primary_home,secondary_home,governance_or_runtime,repo_visible_contract,current_b_evidence,current_posture,scorebook_scope,promotion_retirement_scope,notes
sessions,B,,runtime_object_plus_local_rule,PARTIAL,"scripts/check_sellersprite_session.py|scripts/bootstrap_sellersprite_auth.py|scripts/bootstrap_sif_auth.py|session bundle artifacts in business outputs",LIMITED,"session stability and auth telemetry can feed later review","NOT_OWNED_BY_B","raw storage_state/profile material stays local-only"
context_files,B,,runtime_object,YES,"inputs/selection_run_current/**|outputs/selection_runs/<batch_id>/00_run_manifest.json|artifact_index.json|evidence_pack.json",APPROVED,"run context and linkage metadata can feed A-side ingest/review","NOT_APPLICABLE","canonical templates and manifest-style metadata are repo-visible"
hooks,A,B,governance_rule,YES_RULE_ONLY,NO_OBSERVED_RUNTIME_HOST_IN_B_REPO,SHADOW,"NONE_UNTIL_CONCRETE_HOOK_RECEIPTS_EXIST",A_ONLY,"B may document hook policy but may not claim live hook execution"
cron,B,A,governance_rule_for_future_runtime_object,YES_RULE_ONLY,NO_OBSERVED_SCHEDULER_IN_B_REPO,SHADOW,"schedule telemetry only if a named entrypoint is later approved","A_ONLY_FOR_GOVERNANCE","cron is never a recursive self-boot skill factory"
provider_routing,B,,governance_rule_plus_runtime_config,YES,"configs/model.json|models/README.md|B_MODEL_PROVIDER_BASELINE.md",LIMITED,"provider receipts may feed later review","NOT_APPLICABLE","default remains ollama_local; cloud slot is reserved but disabled"
credential_pools,B,A,runtime_object_plus_governance_rule,PARTIAL,".env.example|.gitignore|amazon-selection-automation.gitignore|playwright/auth/.gitkeep|playwright/profiles/.gitkeep|scripts/sellersprite_auth_registry.py|scripts/sellersprite_auth_replay.py",LIMITED,"auth incidents and reuse checks can feed review","NOT_APPLICABLE","raw secrets and credential payloads never enter git"
checkpoints_and_rollback,B,A,governance_rule_plus_runtime_object,YES,"B_OUTPUT_ENVELOPE_SPEC.md|RUN_MANIFEST_SCHEMA.json|scripts/output_envelope_common.py|scripts/archive_selection_run_io.py",LIMITED,"rollback references and checkpoint evidence can feed A-side review","A_ONLY","B rollback is local execution rollback, not publish-grade release truth"
delegation,B,A,runtime_object_plus_governance_rule,PARTIAL,"skills/skill-market-root-orchestrator/**|skills/** imported execution surfaces",LIMITED,"delegated execution telemetry can feed review","A_ONLY","delegation is bounded routing across named scripts or approved imported skills"
MCP,A,B,governance_rule,YES_RULE_ONLY,NO_OBSERVED_MCP_CONFIG_IN_B_REPO,SHADOW,"NONE_UNTIL_ALLOWLISTED_CONSUMER_CONTRACT_EXISTS",A_ONLY,"B currently has no repo-visible MCP host or registry"
skills_and_plugins,A,B,split_governance_surface_and_runtime_object,YES,"skills/** imported execution surfaces|NO_OBSERVED_skills_runtime_DIR|NO_OBSERVED_plugins_DIR",APPROVED_IMPORTED_SURFACE_FOR_SKILLS_AND_SHADOW_FOR_PLUGINS,"B execution telemetry may feed A-side scorebook gates","A_ONLY","A owns approval/promotion/retirement; B owns imported execution surfaces and future runtime wrappers"
