step_code,step_name,rule_id,metric_name,metric_scope,comparator,threshold_value,threshold_unit,enabled,hard_fail,blank_action,tie_breaker_rank,note
STEP1,方向输入校验,S1_REQUIRED_FIELDS,required_field_count,direction,>=,1,count,TRUE,TRUE,FAIL,1,方向词、站点、价格带、禁区等核心字段不能为空
STEP1,方向输入校验,S1_DIRECTION_TOKEN_MIN,direction_token_count,direction,>=,2,token,TRUE,FALSE,HOLD,2,超泛方向词如单一 toy 建议 HOLD
STEP2,关键词证据词池,S2_MIN_SEARCH_VOLUME,月搜索量,keyword,>=,500,searches,TRUE,TRUE,FAIL,1,默认最小搜索量，可按类目调整
STEP2,关键词证据词池,S2_MIN_GROWTH_PCT,搜索量增长率_pct,keyword,>=,10,pct,TRUE,FALSE,HOLD,2,增长率低于阈值可 HOLD
STEP2,关键词证据词池,S2_MAX_CLICK_CONCENTRATION,点击集中度_pct,keyword,<=,45,pct,TRUE,TRUE,FAIL,3,点击集中度过高，说明头部垄断重
STEP2,关键词证据词池,S2_MAX_TRAFFIC_COST_INDEX,流量成本指数,keyword,<=,70,index,TRUE,FALSE,HOLD,4,流量成本过高则 HOLD
STEP2,关键词证据词池,S2_REQUIRE_OPPORTUNITY_OR_TREND,机会标签|趋势标签,keyword,in,Opportunities;Potential;Trending;RapidGrowth,tag,TRUE,FALSE,HOLD,5,至少命中一种机会/趋势标签更优
STEP3,市场调研筛市场,S3_MIN_AVG_PRICE,平均价格,market,>=,15,usd,TRUE,TRUE,FAIL,1,价格低于下限直接 FAIL
STEP3,市场调研筛市场,S3_MAX_AVG_PRICE,平均价格,market,<=,60,usd,TRUE,TRUE,FAIL,2,价格高于上限直接 FAIL
STEP3,市场调研筛市场,S3_MIN_MARKET_VOLUME,月总销量,market,>=,3000,units,TRUE,TRUE,FAIL,3,市场体量过小直接 FAIL
STEP3,市场调研筛市场,S3_MIN_NEW_PRODUCT_RATIO,新品占比_pct,market,>=,10,pct,TRUE,FALSE,HOLD,4,新品占比过低，进入空间不足
STEP3,市场调研筛市场,S3_MAX_COMMODITY_CONCENTRATION,商品集中度,market,<=,0.45,ratio,TRUE,TRUE,FAIL,5,商品集中度过高则 FAIL
STEP3,市场调研筛市场,S3_MAX_BRAND_CONCENTRATION,品牌集中度,market,<=,0.60,ratio,TRUE,FALSE,HOLD,6,品牌集中度高则 HOLD
STEP3,市场调研筛市场,S3_MAX_SELLER_CONCENTRATION,卖家集中度,market,<=,0.55,ratio,TRUE,FALSE,HOLD,7,卖家集中度高则 HOLD
STEP4,竞品结构粗筛,S4_MIN_CANDIDATE_ASIN_COUNT,候选ASIN数,sample,>=,5,count,TRUE,TRUE,FAIL,1,候选样品数不足则 FAIL
STEP4,竞品结构粗筛,S4_MAX_MEDIAN_RATING,评分中位数,sample,<=,4.6,stars,TRUE,FALSE,HOLD,2,评分中位数过高说明改良空间有限
STEP4,竞品结构粗筛,S4_MAX_TOP1_REVIEW_SHARE,头部评论占比,sample,<=,0.40,ratio,TRUE,FALSE,HOLD,3,头部评论过度集中则 HOLD
STEP4,竞品结构粗筛,S4_MIN_PRICE_SPREAD,价格离散度,sample,>=,3,usd,TRUE,FALSE,HOLD,4,价格带完全贴死则 HOLD
STEP5,SIF流量补强,S5_MIN_NATURAL_TRAFFIC_SHARE,自然流量占比_pct,sample,>=,30,pct,TRUE,FALSE,HOLD,1,自然占比过低说明过度依赖广告
STEP5,SIF流量补强,S5_MAX_AD_TRAFFIC_SHARE,广告流量占比_pct,sample,<=,60,pct,TRUE,FALSE,HOLD,2,广告占比过高则 HOLD
STEP5,SIF流量补强,S5_MIN_HIGH_VALUE_KEYWORD_COUNT,高价值关键词数,sample,>=,5,count,TRUE,TRUE,FAIL,3,高价值关键词太少直接 FAIL
STEP5,SIF流量补强,S5_MAX_MEDIAN_SUGGESTED_BID,建议竞价中位数,sample,<=,1.5,usd,TRUE,FALSE,HOLD,4,竞价过高则 HOLD
STEP5,SIF流量补强,S5_PIT_STABILITY_REQUIRED,坑位稳定性状态,sample,==,PASS,enum,TRUE,FALSE,HOLD,5,坑位不稳定可 HOLD
STEP6,候选样品包,S6_MIN_PASS_STEPS,前序通过步骤数,sample,>=,5,count,TRUE,TRUE,FAIL,1,前 5 步至少通过 5 步才进 shortlist
